기관명,total.cctv,y.2013,y.2014,y.2015,y.2016,세대,total.pop,total.m,total.fm,total.k,k.m,k.fm,total.for,for.f,for.fm,세대당인구,over65,구별면적,살인 발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,총발생범죄,총검거수,총검거율
강남구,2780 ,1292 ,430 ,584 ,932 ,234107 ,570500 ,273301 ,297199 ,565550 ,270726 ,294824 ,4950 ,2575 ,2375 ,2.42 ,63167 ,39.51 ,13 ,10 ,21 ,18 ,449 ,349 ,3850 ,1650 ,4284 ,3705 ,8617 ,5732 ,66.52 
강동구,773 ,379 ,99 ,155 ,377 ,179676 ,453233 ,225427 ,227806 ,449019 ,223488 ,225531 ,4214 ,1939 ,2275 ,2.50 ,54622 ,24.59 ,4 ,3 ,6 ,8 ,156 ,123 ,2366 ,789 ,2712 ,2248 ,5244 ,3171 ,60.47 
강북구,748 ,369 ,120 ,138 ,204 ,141554 ,330192 ,161686 ,168506 ,326686 ,160353 ,166333 ,3506 ,1333 ,2173 ,2.31 ,54813 ,23.60 ,7 ,8 ,14 ,13 ,153 ,126 ,1434 ,618 ,2649 ,2348 ,4257 ,3113 ,73.13 
강서구,884 ,388 ,258 ,184 ,81 ,247696 ,603772 ,294433 ,309339 ,597248 ,291249 ,305999 ,6524 ,3184 ,3340 ,2.41 ,72548 ,41.43 ,7 ,8 ,13 ,13 ,262 ,191 ,2096 ,1260 ,3207 ,2718 ,5585 ,4190 ,75.02 
관악구,1496 ,846 ,260 ,390 ,613 ,253826 ,525515 ,264763 ,260752 ,507203 ,256090 ,251113 ,18312 ,8673 ,9639 ,2.00 ,68082 ,29.57 ,9 ,8 ,12 ,14 ,320 ,221 ,2706 ,827 ,3298 ,2642 ,6345 ,3712 ,58.50 
광진구,707 ,573 ,78 ,53 ,174 ,158960 ,372164 ,180992 ,191172 ,357211 ,174599 ,182612 ,14953 ,6393 ,8560 ,2.25 ,42214 ,17.06 ,4 ,4 ,14 ,26 ,240 ,220 ,3026 ,1277 ,2625 ,2180 ,5909 ,3707 ,62.73 
구로구,1561 ,1142 ,173 ,246 ,323 ,172272 ,447874 ,224436 ,223438 ,416487 ,207114 ,209373 ,31387 ,17322 ,14065 ,2.42 ,56833 ,20.12 ,8 ,6 ,15 ,11 ,281 ,164 ,2335 ,889 ,3007 ,2432 ,5646 ,3502 ,62.03 
금천구,1015 ,674 ,51 ,269 ,354 ,105146 ,255082 ,130558 ,124524 ,236353 ,120334 ,116019 ,18729 ,10224 ,8505 ,2.25 ,32970 ,13.00 ,3 ,4 ,6 ,6 ,151 ,122 ,1567 ,888 ,2054 ,1776 ,3781 ,2796 ,73.95 
노원구,1265 ,542 ,57 ,451 ,516 ,219957 ,569384 ,276823 ,292561 ,565565 ,275211 ,290354 ,3819 ,1612 ,2207 ,2.57 ,71941 ,35.44 ,10 ,10 ,7 ,7 ,197 ,121 ,2193 ,801 ,2723 ,2329 ,5130 ,3268 ,63.70 
도봉구,485 ,238 ,159 ,42 ,386 ,136613 ,348646 ,171026 ,177620 ,346629 ,170289 ,176340 ,2017 ,737 ,1280 ,2.54 ,51312 ,20.70 ,3 ,3 ,9 ,10 ,102 ,106 ,1063 ,478 ,1487 ,1303 ,2664 ,1900 ,71.32 
